universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min
UCDV1_01755,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,4.72,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,11.48,1.783,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01756,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,6.34,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,11.48,1.783,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01757,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,5.03,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,12.69,1.718,,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,,
UCDV1_01758,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,7.78,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,12.69,1.718,,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,,
UCDV1_01759,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,5.56,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,13.18,1.698,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
UCDV1_01760,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,8.42,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,13.18,1.698,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
UCDV1_01761,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,6.34,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,14.52,1.64,,,0.0,,,,,,,,,1.5,,,,,,,,,,,,,,,
UCDV1_01762,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,1.022,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,14.52,1.64,,,0.0,,,,,,,,,1.5,,,,,,,,,,,,,,,
UCDV1_01763,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,7.69,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,15.4,1.586,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
UCDV1_01764,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,12.31,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,15.4,1.586,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
UCDV1_01765,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,5.21,soaked,4.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,14.76,1.613,,,0.0,,,,,,,,,2.5,,,,,,,,,,,,,,,
