response_type,source_dataset,source_doi,domain_family,rows
CBR,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,80
CBR,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,242
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,12
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,9
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,20
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,72
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-024-00449-10,biopolymer_multi_additive,2
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1016/j.carpta.2025.100975,biopolymer_multi_additive,5
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1051/e3sconf/202339101004,biopolymer_multi_additive,10
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,8
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,15
CBR,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,10
UCS,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,10.57745/L6EIIT,cement_lime,49
UCS,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,185
UCS,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,702
UCS,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,208
UCS,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,187
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,24
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,11
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,13
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40098-025-01375-4,biopolymer_multi_additive,4
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,36
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40891-025-00640-z,biopolymer_multi_additive,28
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1016/j.carpta.2025.100975,biopolymer_multi_additive,10
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1016/j.conbuildmat.2024.137258,biopolymer_multi_additive,10
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1051/e3sconf/202123602010,biopolymer_multi_additive,18
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1051/e3sconf/202339101004,biopolymer_multi_additive,20
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1061/(ASCE)MT.1943-5533.0002705,biopolymer_multi_additive,8
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1061/JMCEE7.MTENG-19201,biopolymer_multi_additive,60
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1080/1064119X.2025.2518484,biopolymer_multi_additive,72
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.2113/gseegeosci.23.1.1,biopolymer_multi_additive,9
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3311/PPci.40107,biopolymer_multi_additive,7
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,8
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,15
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/fib13080104,biopolymer_multi_additive,14
UCS,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,30
