record_id,orig_no,soil_location,sand_pct,silt_pct,clay_pct,soil_gs,ll_pct,pl_pct,pi_pct,d50_um,uscs_astm,omc_untreated_raw,omc_untreated_pct,mdd_untreated_kgm3,qc_flag_omc_fraction_to_pct,bio_xg,bio_ch,bio_gg,bio_lg,bio_sls,bio_els,add_ppf,add_rha,add_li,add_swf,add_cw,add_hl,add_fa,add_nl_ns,add_cem,add_pf,add_rc,add_ggbfs,add_gp,additive1_name_raw,additive1_specific_gravity,additive1_dosage_pct,additive2_name_raw,additive2_specific_gravity,palm_fiber_length_mm,additive2_dosage_pct,mixture_gs,mixture_rho_b_kgm3_value,mixture_rho_b_kgm3_uncert,mixture_rho_b_kgm3_uncert_type,mixture_rho_d_kgm3_value,mixture_rho_d_kgm3_uncert,mixture_rho_d_kgm3_uncert_type,mixture_w_pct_value,mixture_w_pct_uncert,mixture_w_pct_uncert_type,mdd_treated_kgm3,omc_treated_pct,ucs_kpa,curing_days,curing_inferred,curing_notes,source_ref_raw,source_doi,study_id
1,1,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,0.0,hydrated lime,2.48,,0.0,2.7,2159.0,5.5,reported (type not specified),1933.0,5.6,reported (type not specified),11.7,0.09,reported (type not specified),,,1820.0,7,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
2,2,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,0.0,hydrated lime,2.48,,0.0,2.7,2159.0,5.5,reported (type not specified),1933.0,5.6,reported (type not specified),11.7,0.09,reported (type not specified),,,2520.0,28,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
3,3,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,3.0,hydrated lime,2.48,,0.0,2.656,2166.0,2.0,reported (type not specified),1882.0,8.8,reported (type not specified),15.1,0.5,reported (type not specified),,,2060.0,7,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
4,4,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,3.0,hydrated lime,2.48,,0.0,2.656,2166.0,2.0,reported (type not specified),1882.0,8.8,reported (type not specified),15.1,0.5,reported (type not specified),,,2630.0,28,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
5,5,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,2.0,hydrated lime,2.48,,1.0,2.669,2164.0,3.5,reported (type not specified),1898.0,11.2,reported (type not specified),14.0,0.76,reported (type not specified),,,2120.0,7,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
6,6,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,2.0,hydrated lime,2.48,,1.0,2.669,2164.0,3.5,reported (type not specified),1898.0,11.2,reported (type not specified),14.0,0.76,reported (type not specified),,,3080.0,28,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
7,7,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,1.0,hydrated lime,2.48,,2.0,2.681,2172.0,8.6,reported (type not specified),1917.0,23.0,reported (type not specified),13.2,1.09,reported (type not specified),,,2290.0,7,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
8,8,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,1.0,hydrated lime,2.48,,2.0,2.681,2172.0,8.6,reported (type not specified),1917.0,23.0,reported (type not specified),13.2,1.09,reported (type not specified),,,2940.0,28,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
9,9,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,0.0,hydrated lime,2.48,,3.0,2.693,2180.0,10.3,reported (type not specified),1950.0,17.0,reported (type not specified),11.8,0.6,reported (type not specified),,,2690.0,7,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
10,10,"Serra Riccò – Genoa, Italy",26.9,57.5,15.6,2.7,43.0,28.0,15.0,18.0,ML,12.0,12.0,1940.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Guar gum,1.25,0.0,hydrated lime,2.48,,3.0,2.693,2180.0,10.3,reported (type not specified),1950.0,17.0,reported (type not specified),11.8,0.6,reported (type not specified),,,3350.0,28,0,,https://doi.org/10.1016/j.conbuildmat.2024.137258,10.1016/j.conbuildmat.2024.137258,S09
