time,source,url,status,path,note
2026-05-27T11:43:07,Zenodo 10.5281/zenodo.19242690,https://zenodo.org/api/records/19242690,http_error_403,,metadata; HTTP Error 403: Forbidden
2026-05-27T11:43:08,Data.gov.in Soil Health Card OC,https://www.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\datagov_soil_health_oc_page.html,resource page; bytes=955340; type=text/html; charset=utf-8; final=https://www.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed
2026-05-27T11:43:08,Data.gov.in Soil Health Card OC,https://api.data.gov.in/resource/06c4d4ca-8699-42ce-b781-01a60795fbf4?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\raw_downloads\datagov_attempt_1.csv,candidate API/file route; bytes=2829; type=text/csv;charset=UTF-8; final=https://api.data.gov.in/resource/06c4d4ca-8699-42ce-b781-01a60795fbf4?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000
2026-05-27T11:43:09,Data.gov.in Soil Health Card OC,https://api.data.gov.in/resource/06c4d4ca-8699-42ce-b781-01a60795fbf4?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&limit=1000,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\raw_downloads\datagov_attempt_2.json,candidate API/file route; bytes=20971; type=application/json; final=https://api.data.gov.in/resource/06c4d4ca-8699-42ce-b781-01a60795fbf4?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&limit=1000
2026-05-27T11:43:09,Data.gov.in Soil Health Card OC,https://api.data.gov.in/resource/65b21f96-6c7a-4410-9f5f-d8f10a79d842?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000,not_downloaded_http_200,,candidate API/file route; bytes=0; type=text/csv;charset=UTF-8; final=https://api.data.gov.in/resource/65b21f96-6c7a-4410-9f5f-d8f10a79d842?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000
2026-05-27T11:43:10,Data.gov.in Soil Health Card OC,https://api.data.gov.in/resource/65b21f96-6c7a-4410-9f5f-d8f10a79d842?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&limit=1000,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\raw_downloads\datagov_attempt_4.json,candidate API/file route; bytes=186; type=application/json; final=https://api.data.gov.in/resource/65b21f96-6c7a-4410-9f5f-d8f10a79d842?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&limit=1000
2026-05-27T11:43:11,Data.gov.in Soil Health Card OC,https://data.gov.in/files/ogdpv2dms/s3fs-public/RS_Session_257_AU_2256_1.csv,http_error_403,,candidate API/file route; HTTP Error 403: Forbidden
2026-05-27T11:43:12,Data.gov.in Soil Health Card OC,https://data.gov.in/system/files/2023-01/RS_Session_257_AU_2256_1.csv,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\raw_downloads\datagov_attempt_6.csv,candidate API/file route; bytes=935139; type=text/html; charset=utf-8; final=https://www.data.gov.in/page_not_found
2026-05-27T11:43:12,Data.gov.in Soil Health Card OC,https://data.gov.in\u002Fsystem\u002Ffiles\u002F2023-01\u002FRS_Session_257_AU_2256_1.csv,failed,,candidate API/file route; UnicodeError: label empty or too long
2026-05-27T11:43:12,Data.gov.in Soil Health Card OC,https://www.data.gov.in/files/ogdpv2dms/s3fs-public/RS_Session_257_AU_2256_1.csv,http_error_403,,candidate API/file route; HTTP Error 403: Forbidden
