column_name,dataset,description,unit,data_type,allowed_range_or_values,missing_value_rule,example_value
add_cem,both,Indicator (0/1): presence of additive group 'CEM' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_cw,both,Indicator (0/1): presence of additive group 'CW' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_fa,both,Indicator (0/1): presence of additive group 'FA' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,1
add_fa_rc,CBR,Indicator (0/1): presence of additive group 'FA_RC' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_ggbfs,both,Indicator (0/1): presence of additive group 'GGBFS' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_gp,both,Indicator (0/1): presence of additive group 'GP' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_hl,both,Indicator (0/1): presence of additive group 'HL' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_li,both,Indicator (0/1): presence of additive group 'LI' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_nl_ns,both,Indicator (0/1): presence of additive group 'NL_NS' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_pf,both,Indicator (0/1): presence of additive group 'PF' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_ppf,both,Indicator (0/1): presence of additive group 'PPF' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_rc,UCS,Indicator (0/1): presence of additive group 'RC' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_rha,both,Indicator (0/1): presence of additive group 'RHA' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
add_swf,both,Indicator (0/1): presence of additive group 'SWF' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
additive1_dosage_pct,both,Primary additive dosage (as reported; typically % by dry mass—confirm per source).,%,numeric,,Blank cell = not reported in source.,0
additive1_name_raw,both,Primary additive name (as reported).,-,text,,Blank cell = not reported in source.,Guar gum
additive1_specific_gravity,both,Specific gravity (or 'specific weight' as reported) of primary additive.,-,numeric,,Blank cell = not reported in source.,2.51
additive2_dosage_pct,both,Secondary additive dosage (as reported).,%,numeric,,Blank cell = not reported in source.,0
additive2_name_raw,both,Secondary additive name (as reported).,-,text,,Blank cell = not reported in source.,Fly ash
additive2_specific_gravity,both,Specific gravity (or 'specific weight' as reported) of secondary additive.,-,numeric,,Blank cell = not reported in source.,3.1
