study_id,Ref_in_the_paper,ref_key,doi_url,n_records_cbr,n_records_ucs,year,country_or_region,soil_types_notes,additives_tested_notes,test_standards_notes,curing_range_days,extraction_method,notes
S01,1,10.1007/978-981-96-1373-1_21,https://doi.org/10.1007/978-981-96-1373-1_21,12,24,,,,"CBR: Fly ash, Guar gum; UCS: Fly ash, Guar gum",,CBR: 1–4; UCS: 0–28,,
S03,2,10.1007/s12517-022-09552-y,https://doi.org/10.1007/s12517-022-09552-y,20,13,,,,"CBR: Guar gum, Hydrated Lime; UCS: Guar gum, Hydrated Lime",,CBR: 0–7; UCS: 0–14,,
S09,3,10.1016/j.conbuildmat.2024.137258,https://doi.org/10.1016/j.conbuildmat.2024.137258,0,10,,,,"UCS: Guar gum, hydrated lime",,UCS: 7–28,,
S15,4,10.2113/gseegeosci.23.1.1,https://doi.org/10.2113/gseegeosci.23.1.1,0,9,,,,"UCS: Guar gum, Lime",,UCS: 14–150,,
S02,5,10.1007/s10064-024-04064-3,https://doi.org/10.1007/s10064-024-04064-3,9,11,,,,"CBR: Guar gum, palm fibr; UCS: Guar gum, palm fibr",,CBR: 14–14; UCS: 14–14,,
S06,6,10.1007/s40515-024-00449-10,https://doi.org/10.1007/s40515-024-00449-10,2,0,,,,"CBR: Chitosan, nano-lime, nano-silica",,CBR: 0–0,,
S08,7,10.1016/j.carpta.2025.100975,https://doi.org/10.1016/j.carpta.2025.100975,5,10,,,,"CBR: SWF(Sheep wool fiber ), Xanthan; UCS: SWF(Sheep wool fiber ), Xanthan",,CBR: 0–0; UCS: 28–28,,
S14,8,10.1080/1064119X.2025.2518484,https://doi.org/10.1080/1064119X.2025.2518484,0,72,,,,"UCS: Cement, Chitosan, Guar",,UCS: 3–28,,
S16,9,10.3311/PPci.40107,https://doi.org/10.3311/PPci.40107,0,7,,,,"UCS: Fly ash, Guar gum, Red clay",,UCS: 7–7,,
S04,10,10.1007/s40098-025-01375-4,https://doi.org/10.1007/s40098-025-01375-4,0,4,,,,"UCS: Lime, Xanthan",,UCS: 0–28,,
S07,11,10.1007/s40891-025-00640-z,https://doi.org/10.1007/s40891-025-00640-z,0,28,,,,"UCS: Hydrated Lime, Xhanthan Gum",,UCS: 28–365,,
S12,12,10.1061/(ASCE)MT.1943-5533.0002705,https://doi.org/10.1061/(ASCE)MT.1943-5533.0002705,0,8,,,,"UCS: Fly ash, Xhanthan Gum",,UCS: 0–0,,
S11,13,10.1051/e3sconf/202339101004,https://doi.org/10.1051/e3sconf/202339101004,10,20,,,,"CBR: RHA(rice husk ash), Xanthan; UCS: RHA(rice husk ash), Xanthan",,CBR: 0–0; UCS: 7–56,,
S19,14,10.3390/fib13080104,https://doi.org/10.3390/fib13080104,0,14,,,,"UCS: Guar gum, palm fibr",,UCS: 14–14,,
S13,15,10.1061/JMCEE7.MTENG-19201,https://doi.org/10.1061/JMCEE7.MTENG-19201,0,60,,,,"UCS: Guar, Polypropylene Fiber, Xanthan",,UCS: 1–21,,
S05,16,10.1007/s40515-015-0020-0,https://doi.org/10.1007/s40515-015-0020-0,72,36,,,,"CBR: Electrolyte Lignin Stabilizer, Fly ash; UCS: Electrolyte Lignin Stabilizer, Fly ash",,CBR: 1–28; UCS: 1–28,,
S10,17,10.1051/e3sconf/202123602010,https://doi.org/10.1051/e3sconf/202123602010,0,18,,,,"UCS: Cement, Lignin",,UCS: 1–14,,
S17,18,10.3390/app14177532,https://doi.org/10.3390/app14177532,8,8,,,,"CBR: Glass Powder, sodium lignosulfonate; UCS: Glass Powder, sodium lignosulfonate",,CBR: 4–4; UCS: 7–28,,
S18,19,10.3390/buildings15010038,https://doi.org/10.3390/buildings15010038,15,15,,,,"CBR: Ground Granulated Blast-furnace Slag, Lignin; UCS: Ground Granulated Blast-furnace Slag, Lignin",,CBR: 7–28; UCS: 7–28,,
S20,20,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",,10,30,,,,"CBR: Concrete waste (CW), Xanthan; UCS: Concrete waste, Xanthan",,CBR: 4–4; UCS: 0–96,,
