raw_name,standard_name_suggested,additive_family_suggested,final_standard_name,final_additive_family,notes
Cement,Cement,cementitious,,,
Chitosan,Chitosan,biopolymer,,,
Concrete waste,Concrete Waste,recycled/waste,,,
Concrete waste (CW),Concrete Waste (CW),recycled/waste,,,
Electrolyte Lignin Stabilizer,Electrolyte Lignin Stabilizer,biopolymer,,,
Fly ash,Fly Ash,pozzolan/ash,,,
Glass Powder,Glass Powder,other,,,
Ground Granulated Blast-furnace Slag,Ground Granulated Blast-Furnace Slag,slag,,,
Guar,Guar Gum,biopolymer,,,
Guar gum,Guar Gum,biopolymer,,,
Hydrated Lime,Hydrated Lime,lime,,,
Lignin,Lignin,biopolymer,,,
Lime,Lime,lime,,,
Polypropylene Fiber,Polypropylene Fiber,fiber,,,
RHA(rice husk ash),RHA (Rice Husk Ash),pozzolan/ash,,,
Red clay,Red Clay,other,,,
SWF(Sheep wool fiber ),SWF (Sheep Wool Fiber),fiber,,,
Xanthan,Xanthan,biopolymer,,,
Xhanthan Gum,Xanthan Gum,biopolymer,,,
hydrated lime,Hydrated Lime,lime,,,
"nano-lime, nano-silica",Nano-lime + Nano-silica,nano/additive,,,
palm fibr,Palm Fiber,fiber,,,
sodium lignosulfonate,Sodium Lignosulfonate,biopolymer,,,
