response,model,fold,n_test,test_group,R2,RMSE,MAE,feature_set
UCS,HGB,1,702,Luo et al. (2025) open GitHub UCS benchmark,0.025120543643021853,4669.783207249454,3108.276340838811,base
UCS,HGB,2,397,Zenodo_19242690_Biopolymer_UCS_CBR_2026,0.1933173600010477,1839.1624836504932,897.5896502863936,base
UCS,HGB,3,208,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,-0.21163184779132949,1783.9895729577588,1387.5515784380516,base
UCS,HGB,4,187,Taffese and Abegaz 2022 Buildings supplementary Table S1,0.054856700932167546,1112.5515455464126,874.1198776135656,base
UCS,HGB,5,234,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025; Figshare_28553693_Teodoru_OwusuYeboah_2025,-0.6189323570093663,1511.9231516077894,1307.7385448877528,base
UCS,ExtraTrees,1,702,Luo et al. (2025) open GitHub UCS benchmark,0.10711597832179476,4469.086755518227,2895.558152789124,base
UCS,ExtraTrees,2,397,Zenodo_19242690_Biopolymer_UCS_CBR_2026,0.016596442190159877,2030.6479240137637,966.2840835083722,base
UCS,ExtraTrees,3,208,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,0.07062266582595378,1562.4387806843047,1256.5418368434428,base
UCS,ExtraTrees,4,187,Taffese and Abegaz 2022 Buildings supplementary Table S1,-0.12676064721929237,1214.7506689094737,918.6711917846709,base
UCS,ExtraTrees,5,234,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025; Figshare_28553693_Teodoru_OwusuYeboah_2025,0.2204251255596651,1049.1661795025723,872.6732517802237,base
CBR,HGB,1,242,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,0.05815547788024178,11.349064697240523,9.411488862761058,base
CBR,HGB,2,163,Zenodo_19242690_Biopolymer_UCS_CBR_2026,-0.1771792104511305,19.872684874262106,15.7146171444036,base
CBR,HGB,3,80,Kafle and Baghbani 2025 WTS stabilisation,-0.1501991922204602,12.987450068217962,10.18051512173368,base
CBR,ExtraTrees,1,242,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,-0.13949466361720653,12.483219628611554,10.987943579192162,base
CBR,ExtraTrees,2,163,Zenodo_19242690_Biopolymer_UCS_CBR_2026,-0.08788477688893104,19.104105326754485,15.351897934560325,base
CBR,ExtraTrees,3,80,Kafle and Baghbani 2025 WTS stabilisation,-0.4032315664543289,14.345048953768398,10.036997170099927,base
UCS,HGB,1,702,Luo et al. (2025) open GitHub UCS benchmark,0.030885196013104688,4655.95606683842,3096.0459226213575,base_plus_datagov_context
UCS,HGB,2,397,Zenodo_19242690_Biopolymer_UCS_CBR_2026,0.1933173600010477,1839.1624836504932,897.5896502863936,base_plus_datagov_context
UCS,HGB,3,208,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,-0.05788893106826487,1666.967021662909,1313.7350563957405,base_plus_datagov_context
UCS,HGB,4,187,Taffese and Abegaz 2022 Buildings supplementary Table S1,0.11617205857209023,1075.8585490408618,860.7723449973245,base_plus_datagov_context
UCS,HGB,5,234,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025; Figshare_28553693_Teodoru_OwusuYeboah_2025,-0.5099193493735927,1460.1324100957966,1261.4155265688375,base_plus_datagov_context
UCS,ExtraTrees,1,702,Luo et al. (2025) open GitHub UCS benchmark,0.1121598918331822,4456.445913410755,2887.011618361217,base_plus_datagov_context
UCS,ExtraTrees,2,397,Zenodo_19242690_Biopolymer_UCS_CBR_2026,0.0030648369675843057,2044.5710213769382,967.7114723176422,base_plus_datagov_context
UCS,ExtraTrees,3,208,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,0.07176640349303887,1561.477077532301,1261.231883038729,base_plus_datagov_context
UCS,ExtraTrees,4,187,Taffese and Abegaz 2022 Buildings supplementary Table S1,0.00992850338099871,1138.6875976642673,851.4310420683696,base_plus_datagov_context
UCS,ExtraTrees,5,234,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025; Figshare_28553693_Teodoru_OwusuYeboah_2025,0.102734791955576,1125.5784761464827,933.0056021819264,base_plus_datagov_context
CBR,HGB,1,242,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,0.07143092644173243,11.268797411096653,9.333141391318033,base_plus_datagov_context
CBR,HGB,2,163,Zenodo_19242690_Biopolymer_UCS_CBR_2026,-0.1771792104511305,19.872684874262106,15.7146171444036,base_plus_datagov_context
CBR,HGB,3,80,Kafle and Baghbani 2025 WTS stabilisation,-0.15237609443018596,12.99973448133567,10.18516075485357,base_plus_datagov_context
CBR,ExtraTrees,1,242,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,-0.07230775203341433,12.10961083505729,10.779577510468327,base_plus_datagov_context
CBR,ExtraTrees,2,163,Zenodo_19242690_Biopolymer_UCS_CBR_2026,-0.09638370431382937,19.17858404419924,15.429127165644172,base_plus_datagov_context
CBR,ExtraTrees,3,80,Kafle and Baghbani 2025 WTS stabilisation,-0.43518374834200646,14.507451110543132,10.15333158859445,base_plus_datagov_context
