scenario_factor,EC_mix_kgCO2e_m3,rho_d_kg_m3
0.8,1146.26,1549.0
0.8,1078.84752,1549.0
0.8,1011.4350400000001,1549.0
0.8,944.02256,1549.0
0.8,876.61008,1549.0
0.8,922.2126400000001,1549.0
0.8,866.2008000000001,1549.0
0.8,810.1889600000002,1549.0
0.8,698.16528,1549.0
0.8,1255.0400000000004,1696.0
0.8,1181.2300800000003,1696.0
0.8,1107.4201600000001,1696.0
0.8,1033.6102400000002,1696.0
0.8,959.80032,1696.0
0.8,1009.7305600000003,1696.0
0.8,948.4032,1696.0
0.8,887.07584,1696.0
0.8,764.4211200000001,1696.0
0.8,1146.26,1549.0
0.8,1078.84752,1549.0
0.8,1011.4350400000001,1549.0
0.8,944.02256,1549.0
0.8,876.61008,1549.0
0.8,922.2126400000001,1549.0
0.8,866.2008000000001,1549.0
0.8,810.1889600000002,1549.0
0.8,698.16528,1549.0
0.8,1255.0400000000004,1696.0
0.8,1181.2300800000003,1696.0
0.8,1107.4201600000001,1696.0
0.8,1033.6102400000002,1696.0
0.8,959.80032,1696.0
0.8,1009.7305600000003,1696.0
0.8,948.4032,1696.0
0.8,887.07584,1696.0
0.8,764.4211200000001,1696.0
0.8,1146.26,1549.0
0.8,1078.84752,1549.0
0.8,1011.4350400000001,1549.0
0.8,944.02256,1549.0
0.8,876.61008,1549.0
0.8,922.2126400000001,1549.0
0.8,866.2008000000001,1549.0
0.8,810.1889600000002,1549.0
0.8,698.16528,1549.0
0.8,1255.0400000000004,1696.0
0.8,1181.2300800000003,1696.0
0.8,1107.4201600000001,1696.0
0.8,1033.6102400000002,1696.0
0.8,959.80032,1696.0
0.8,1009.7305600000003,1696.0
0.8,948.4032,1696.0
0.8,887.07584,1696.0
0.8,764.4211200000001,1696.0
0.8,1146.26,1549.0
0.8,1078.84752,1549.0
0.8,1011.4350400000001,1549.0
0.8,944.02256,1549.0
0.8,876.61008,1549.0
0.8,922.2126400000001,1549.0
0.8,866.2008000000001,1549.0
0.8,810.1889600000002,1549.0
0.8,698.16528,1549.0
0.8,1255.0400000000004,1696.0
0.8,1181.2300800000003,1696.0
0.8,1107.4201600000001,1696.0
0.8,1033.6102400000002,1696.0
0.8,959.80032,1696.0
0.8,1009.7305600000003,1696.0
0.8,948.4032,1696.0
0.8,887.07584,1696.0
0.8,764.4211200000001,1696.0
0.8,1146.26,1549.0
0.8,1078.84752,1549.0
0.8,1011.4350400000001,1549.0
0.8,944.02256,1549.0
0.8,876.61008,1549.0
0.8,922.2126400000001,1549.0
0.8,866.2008000000001,1549.0
0.8,810.1889600000002,1549.0
0.8,698.16528,1549.0
0.8,1255.0400000000004,1696.0
0.8,1181.2300800000003,1696.0
0.8,1107.4201600000001,1696.0
0.8,1033.6102400000002,1696.0
0.8,959.80032,1696.0
0.8,1009.7305600000003,1696.0
0.8,948.4032,1696.0
0.8,887.07584,1696.0
0.8,764.4211200000001,1696.0
0.8,1242.46,1679.0
0.8,1138.7813360000002,1680.61
0.8,1094.1548160000002,1692.69
0.8,1039.9525360000002,1690.43
0.8,984.5597600000001,1685.89
0.8,1242.46,1679.0
0.8,1138.7813360000002,1680.61
0.8,1094.1548160000002,1692.69
0.8,1039.9525360000002,1690.43
0.8,984.5597600000001,1685.89
0.8,1242.46,1679.0
0.8,1138.7813360000002,1680.61
0.8,1094.1548160000002,1692.69
0.8,1039.9525360000002,1690.43
0.8,984.5597600000001,1685.89
0.8,1026.2423967409852,1386.81404964998
0.8,994.9819765159378,1468.39134668822
0.8,922.174238909309,1498.9828330775501
0.8,839.9116925759545,1519.37715733711
0.8,750.103246266563,1529.57431946689
0.8,650.2934233402832,1519.37715733711
0.8,1026.2423967409852,1386.81404964998
0.8,994.9819765159378,1468.39134668822
0.8,922.174238909309,1498.9828330775501
0.8,839.9116925759545,1519.37715733711
0.8,750.103246266563,1529.57431946689
0.8,650.2934233402832,1519.37715733711
0.8,1026.2423967409852,1386.81404964998
0.8,994.9819765159378,1468.39134668822
0.8,922.174238909309,1498.9828330775501
0.8,839.9116925759545,1519.37715733711
0.8,750.103246266563,1529.57431946689
