model,fold,test_group,n_test,R2,RMSE,MAE,MAPE
unconstrained,1,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,49,-7.3871467396533745,1306.499867716195,1199.4691387273847,89.81887340827316
unconstrained,2,Figshare_28553693_Teodoru_OwusuYeboah_2025,185,-0.15651091617303314,1382.6318217512144,1089.181995544808,44.467411176345266
unconstrained,3,Luo et al. (2025) open GitHub UCS benchmark,702,0.04103869080153855,4631.5014292766355,3257.33270632391,970.5623032359274
unconstrained,4,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,208,-0.09439410075405208,1695.4845757062576,1342.2169917714984,478.085210295367
unconstrained,5,Taffese and Abegaz 2022 Buildings supplementary Table S1,187,-0.02248803387906606,1157.178693655485,884.2192311475807,77.16852838130364
unconstrained,6,Zenodo_19242690_Biopolymer_UCS_CBR_2026,397,0.09969763273635113,1942.9558846255181,834.4292165430072,101.38837190758363
physics_constrained,1,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,49,-4.427224206165736,1050.9719644530114,933.3915522667701,64.61098202243308
physics_constrained,2,Figshare_28553693_Teodoru_OwusuYeboah_2025,185,0.2192053138739225,1136.0569539245098,932.0006251538437,62.00319598692712
physics_constrained,3,Luo et al. (2025) open GitHub UCS benchmark,702,0.18076994815551095,4280.792700085551,3101.3132708281223,1171.1980809419288
physics_constrained,4,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,208,-0.4728127385483911,1966.89301237638,1464.9446929317517,220.57776021429714
physics_constrained,5,Taffese and Abegaz 2022 Buildings supplementary Table S1,187,-0.22983183933171225,1269.095130637196,979.3429987249008,79.1135362101867
physics_constrained,6,Zenodo_19242690_Biopolymer_UCS_CBR_2026,397,0.15115342954134814,1886.6152605442646,918.87849409406,141.36551287598598
