feature,violation_count,total_checks,violation_rate_percent,note,model
Curing_Days,28,300,9.333333333333334,expected monotonic increase,unconstrained
MDD,137,300,45.666666666666664,expected monotonic increase,unconstrained
Cement_Content,99,300,33.0,expected monotonic increase,unconstrained
Lime_Content,0,300,0.0,expected monotonic increase,unconstrained
Delta_w,0,300,0.0,expected monotonic decrease,unconstrained
Curing_Days,0,300,0.0,expected monotonic increase,physics_constrained
MDD,0,300,0.0,expected monotonic increase,physics_constrained
Cement_Content,0,300,0.0,expected monotonic increase,physics_constrained
Lime_Content,0,300,0.0,expected monotonic increase,physics_constrained
Delta_w,0,300,0.0,expected monotonic decrease,physics_constrained
