universal_id,Source,source_doi,domain_family,response_type,UCS_kPa,CBR,cbr_condition,Curing_Days,soil_id,soil_class,soil_location,sand_pct,silt_pct,Clay_Fraction,gravel_pct,ll_pct,pl_pct,Plasticity_Index,specific_gravity,OMC,MDD,Water_Content,dry_density_gcm3,Cement_Content,Lime_Content,Fly_Ash_Content,GGBS_Content,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,physical_quality_flag,Binder_Content,SiO2,Al2O3,CaO,A_clay,phi_ox,Delta_w,Binder_Total,Binder_Clay_Ratio,log_curing
UCDV1_00001,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,47.7,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,100.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,100.0,,2.0794415416798357
UCDV1_00002,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,95.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,94.0,,4.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,98.0,,2.0794415416798357
UCDV1_00003,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,87.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,88.0,,8.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,96.0,,2.0794415416798357
UCDV1_00004,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,127.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,82.0,,12.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,94.0,,2.0794415416798357
UCDV1_00005,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,173.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,76.0,,16.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,92.0,,2.0794415416798357
UCDV1_00006,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,102.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,80.0,,16.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,96.0,,2.0794415416798357
UCDV1_00007,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,142.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,75.0,,20.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,95.0,,2.0794415416798357
UCDV1_00008,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,173.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,70.0,,24.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,94.0,,2.0794415416798357
UCDV1_00009,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,186.0,,,7.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,60.0,,32.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,92.0,,2.0794415416798357
UCDV1_00010,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,164.0,,,7.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,100.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,100.0,,2.0794415416798357
