response,binder_factor,transport_km,n,median_co2_kg_per_100kg,median_gain_per_kg_co2,top10_gain_per_kg_co2
CBR,0.8,0,234,0.1936,77.04741379310349,133.5793050232557
UCS,0.8,0,35,2.72,821.2939634313725,47580.29689015976
CBR,0.8,100,234,0.8136000000000001,17.572283150548355,53.211110030541874
UCS,0.8,100,35,3.3400000000000003,676.3905683192261,5692.844505247058
CBR,0.8,300,234,2.0536,7.173913043478262,22.85787378843288
UCS,0.8,300,35,4.58,521.3387096774194,2323.413893261153
CBR,1.0,0,234,0.242,61.63793103448279,106.86344401860458
UCS,1.0,0,35,3.4,657.0351707450982,38064.2375121278
CBR,1.0,100,234,0.862,16.62735849056604,49.359279252778734
UCS,1.0,100,35,4.02,565.7696875564682,5466.958970694891
CBR,1.0,300,234,2.102,6.835564053537286,22.021278003719953
UCS,1.0,300,35,5.26,450.9489981014731,2231.4701560236335
CBR,1.2,0,234,0.2904,51.36494252873566,89.05287001550383
UCS,1.2,0,35,4.08,547.5293089542484,31720.197926773173
CBR,1.2,100,234,0.9104,15.778871978513877,46.13649303629428
UCS,1.2,100,35,4.7,481.69552069930074,5284.313755715239
CBR,1.2,300,234,2.1504,6.608548931383577,21.255686329525343
UCS,1.2,300,35,5.9399999999999995,395.8762037931035,2158.4422150326154
