universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,ucs_class,ucs_high_binary,kgco2e_per_100kg_soil,source_baseline,gain,gain_per_co2,pareto_response,cbr_class,cbr_pass_8
UCDV1_01315,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,10.57745/L6EIIT,cement_lime,UCS,2420.0,,,93.0,A,cement_stabilized_soil_A_or_B,,,,,,,,,,15.5,1.79,14.7,1.71,2.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,high,1.0,2.533,630.0,1790.0,706.6719305171733,UCS,,
UCDV1_01340,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,10.57745/L6EIIT,cement_lime,UCS,1620.0,,,53.0,A,cement_stabilized_soil_A_or_B,,,,,,,,,,15.5,1.76,14.9,1.76,2.43,0.0,,,,,,,,,,,,,,,,,,,,,,,,high,1.0,2.0655,630.0,990.0,479.3028322440087,UCS,,
UCDV1_01351,DataGouv_10.57745_L6EIIT_CastanedaLopez_2025,10.57745/L6EIIT,cement_lime,UCS,1130.0,,,37.0,B,cement_stabilized_soil_A_or_B,,,,,,,,,,10.0,1.93,9.3,1.93,1.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,medium,0.0,1.6915,630.0,500.0,295.5956251847473,UCS,,
UCDV1_01152,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,UCS,1392.578727,,,28.0,Iasi_clayey_silt_clSi,clayey_silt_clSi_EN_ISO_14688,,9.0,64.0,27.0,,36.0,24.0,12.0,,14.9,1.537,,,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.75,medium,0.0,2.125,157.4657076,1235.1130194,581.2296561882353,UCS,,
UCDV1_01191,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,UCS,2912.764086,,,28.0,Iasi_clayey_silt_clSi,clayey_silt_clSi_EN_ISO_14688,,9.0,64.0,27.0,,36.0,24.0,12.0,,14.9,1.537,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,high,1.0,4.25,157.4657076,2755.2983784000003,648.3055008000001,UCS,,
UCDV1_01228,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,UCS,4401.716567,,,28.0,Iasi_clayey_silt_clSi,clayey_silt_clSi_EN_ISO_14688,,9.0,64.0,27.0,,36.0,24.0,12.0,,14.9,1.537,,,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,very_high,1.0,6.375,157.4657076,4244.2508594,665.7648406901961,UCS,,
UCDV1_01256,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,UCS,5054.611964,,,14.0,Iasi_clayey_silt_clSi,clayey_silt_clSi_EN_ISO_14688,,9.0,64.0,27.0,,36.0,24.0,12.0,,14.9,1.537,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.25,very_high,1.0,8.5,157.4657076,4897.146256399999,576.1348536941176,UCS,,
UCDV1_01276,Figshare_28553693_Teodoru_OwusuYeboah_2025,10.6084/m9.figshare.28553693.v2,cement_lime,UCS,188.0466283,,,0.0,Iasi_clayey_silt_clSi,clayey_silt_clSi_EN_ISO_14688,,9.0,64.0,27.0,,36.0,24.0,12.0,,14.9,1.537,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,low,0.0,0.0,157.4657076,30.580920700000007,,UCS,,
UCDV1_00090,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,2195.0,,,120.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,60.0,,32.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,high,1.0,51.96,16.9,2178.1,41.91878367975365,UCS,,
UCDV1_00135,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,518.0,,,28.0,,,,,,,,61.0,,20.0,,,1.51937715733711,21.8,,50.0,,0.0,50.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,medium,0.0,46.5,16.9,501.1,10.776344086021506,UCS,,
UCDV1_00136,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,0.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00148,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,7.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00160,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,14.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00172,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,28.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
